Date,TemperatureMin,TemperatureMax,TemperatureMoyenne,Precipitations,HygrometrieMin,HygrometrieMax,HygrometrieMoyenne
2016-11-11,5.90000009536743,8.60000038146973,7.25,16.2000007629395,72,96,89
2016-11-12,0,9,4.5,0,58,96,86
2016-11-13,-0.100000001490116,8.30000019073486,4.09999990463257,0.200000002980232,60,96,84
2016-11-14,5.69999980926514,7.80000019073486,6.75,1.39999997615814,74,94,87
2016-11-15,5,8.10000038146973,6.55000019073486,0,68,92,83
2016-11-16,-0.899999976158142,10.5,4.80000019073486,0,61,97,85
2016-11-17,3.20000004768372,14,8.60000038146973,0,56,94,84
2016-11-18,6.80000019073486,16.7999992370605,11.8000001907349,3,47,95,78
2016-11-19,9,11.1000003814697,10.0500001907349,10.1999998092651,65,96,86
2016-11-20,2.70000004768372,19.2999992370605,11,0,37,92,63
2016-11-21,11,18.3999996185303,14.6999998092651,0,41,53,47
2016-11-22,12.1999998092651,16,14.1000003814697,4.19999980926514,50,94,78
2016-11-23,8.69999980926514,15.1999998092651,11.9499998092651,0,65,94,80
2016-11-24,6.5,13,9.75,5.19999980926514,79,96,91
2016-11-25,7.80000019073486,11.6999998092651,9.75,3.59999990463257,79,96,92
2016-11-26,6.80000019073486,14.1999998092651,10.5,0,61,96,87
2016-11-27,2.29999995231628,10.8000001907349,6.55000019073486,0,63,96,88
2016-11-28,2.79999995231628,8.39999961853027,5.59999990463257,0,63,90,78
2016-11-29,4.59999990463257,7.69999980926514,6.15000009536743,0,60,90,70
2016-11-30,-3.29999995231628,8.19999980926514,2.45000004768372,0,56,95,85
2016-12-01,-3.90000009536743,6.90000009536743,1.5,0,60,95,87
2016-12-02,-3.20000004768372,2.79999995231628,-0.200000002980232,0,79,97,89
2016-12-03,0.300000011920929,5.69999980926514,3,0,67,94,84
2016-12-04,-3.59999990463257,8.30000019073486,2.34999990463257,0,57,94,84
2016-12-05,-4,8.19999980926514,2.09999990463257,0,55,93,84
2016-12-06,-4.19999980926514,9.19999980926514,2.5,0,59,96,85
2016-12-07,-4.80000019073486,8,1.60000002384186,0,51,94,84
2016-12-08,-5,9.39999961853027,2.20000004768372,0,42,94,79
2016-12-09,-4.90000009536743,8.69999980926514,1.89999997615814,0,43,93,79
2016-12-10,-4.19999980926514,10.5,3.15000009536743,0,35,93,78
2016-12-11,-5.40000009536743,7.80000019073486,1.20000004768372,0,50,93,82
2016-12-12,-4.80000019073486,4.69999980926514,-0.0500000007450581,0,73,95,87
2016-12-13,-4,7.69999980926514,1.85000002384186,0,56,96,85
2016-12-14,-5.19999980926514,9.19999980926514,2,0,49,95,82
2016-12-15,-5.19999980926514,8.5,1.64999997615814,0,47,94,81
2016-12-16,-2.79999995231628,8.69999980926514,2.95000004768372,0,59,94,82
2016-12-17,-5.19999980926514,5,-0.100000001490116,0,70,97,91
2016-12-18,-4.59999990463257,-0.899999976158142,-2.75,0,94,98,97
